Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.006372,5.012,4.916,0.116,4.53,4.53
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.011759,5.387,5.699,0.108,4.842,4.842
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.016378,4.618,4.777,0.115,5,5
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.021626,5.249,5.057,0.11,4.809,4.809
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.026861,5.235,5.247,0.123,4.822,4.822
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.031734,4.873,4.8,0.121,4.749,4.749
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.036886,5.152,5.02,0.109,4.617,4.617
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.041724,4.838,4.757,0.109,4.536,4.536
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.05028,8.556,8.81,0.145,4.79,4.79
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.055489,5.209,5.208,0.117,4.79,4.79
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.060622,5.133,5.106,0.109,4.762,4.762
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.065328,4.706,4.84,0.116,4.896,4.896
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.070578,5.25,5.138,0.112,4.784,4.784
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.07575,5.171,5.033,0.108,4.646,4.646
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.080775,5.025,5.022,0.104,4.643,4.643
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.085244,4.47,4.814,0.116,4.987,4.987
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.090317,5.073,4.848,0.114,4.762,4.762
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.095894,5.576,5.481,0.106,4.667,4.667
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.100103,4.209,4.786,0.131,5.244,5.244
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.105658,5.556,5.021,0.107,4.709,4.709
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.110363,4.705,5.109,0.109,5.113,5.113
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.115733,5.37,5.041,0.115,4.784,4.784
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.120604,4.871,4.852,0.118,4.766,4.766
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.125879,5.275,5.187,0.1,4.677,4.677
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.130577,4.698,4.863,0.118,4.842,4.842
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.135168,4.59,4.746,0.122,4.997,4.997
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.140782,5.614,5.451,0.106,4.834,4.834
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.148069,7.287,7.143,0.102,4.69,4.69
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.154573,6.505,6.596,0.113,4.782,4.782
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.159256,4.683,4.821,0.141,4.92,4.92
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.164662,5.405,5.218,0.11,4.733,4.733
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.169385,4.723,5.091,0.126,5.1,5.1
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.174532,5.147,4.782,0.12,4.735,4.735
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.179556,5.024,4.951,0.119,4.662,4.662
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.184443,4.886,5.013,0.122,4.788,4.788
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.189432,4.989,5.168,0.107,4.967,4.967
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.19429,4.859,5.434,0.119,5.543,5.543
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.199943,5.652,4.922,0.115,4.812,4.812
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.204589,4.647,4.743,0.12,4.908,4.908
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.210692,6.102,5.98,0.105,4.786,4.786
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.215317,4.625,4.769,0.217,4.93,4.93
